Year,Month,Day,Quarter,Games Played
1998,2,21,1,0
1997,1,3,1,0
1998,2,21,1,0
1996,6,12,2,7
1996,1,10,1,4
1998,1,23,1,0
1998,1,16,1,2
1997,6,16,2,12
1996,4,22,2,4
1998,5,29,2,0
1999,9,19,3,0
1996,2,2,1,10
1996,9,20,3,0
1997,4,2,2,5
1997,3,14,1,7
1997,3,23,1,2
1996,10,26,4,9
1996,6,5,2,7
1997,5,3,2,0
1998,1,27,1,0
1998,1,9,1,0
1996,8,15,3,6
1996,2,1,1,7
1998,12,14,4,0
1998,3,18,1,0
1998,3,22,1,0
1996,5,31,2,8
1996,1,20,1,5
1997,2,10,1,8
1998,3,9,1,0
1998,2,16,1,2
1996,2,15,1,6
1997,3,13,1,0
1996,2,3,1,6
1997,1,1,1,1
1997,1,6,1,0
1997,11,27,4,0
1997,1,12,1,1
1997,4,19,2,7
1998,1,28,1,0
1998,10,21,4,0
1998,3,20,1,3
1996,1,18,1,9
1997,10,10,4,2
1997,1,13,1,4
1998,3,24,1,0
1996,3,9,1,8
1996,4,18,2,5
1997,7,6,3,2
1998,12,8,4,0
1998,3,27,1,0
1996,6,29,2,9
1996,3,5,1,0
1996,9,2,3,1
1996,7,20,3,6
1996,2,11,1,4
1996,7,11,3,7
1996,5,2,2,5
1997,12,9,4,0
1997,4,30,2,2
1996,12,16,4,4
1996,9,5,3,0
1997,1,13,1,0
1997,4,15,2,0
1997,3,14,1,3
1997,9,14,3,0
1997,7,5,3,0
1996,11,27,4,0
1996,2,18,1,6
1996,2,16,1,7
1996,2,26,1,6
1996,4,19,2,3
1996,3,12,1,2
1997,5,14,2,3
1996,2,2,1,11
1996,1,24,1,10
1998,5,28,2,1
1996,1,20,1,1
1997,5,5,2,0
1997,1,22,1,0
1997,4,9,2,0
1997,2,26,1,0
1997,4,17,2,0
1997,3,25,1,0
1998,12,17,4,0
1997,4,5,2,7
1996,8,29,3,4
1996,2,28,1,6
1996,5,10,2,3
1998,5,10,2,0
1996,1,2,1,0
1997,3,3,1,0
1996,6,3,2,8
1997,8,1,3,1
1997,6,5,2,0
1998,4,20,2,0
1997,10,30,4,2
1997,9,10,3,6
1996,3,17,1,9
1996,3,11,1,7
1997,7,31,3,9
1998,3,30,1,1
1998,3,26,1,6
1997,2,27,1,2
1998,3,3,1,0
1998,5,12,2,0
1997,6,19,2,5
1996,6,19,2,9
1996,7,29,3,8
1996,11,20,4,3
1997,3,24,1,2
1997,1,11,1,4
1997,7,26,3,9
1996,8,14,3,3
1998,8,1,3,0
1998,3,25,1,0
1999,2,7,1,0
1998,7,23,3,0
1999,1,1,1,0
1996,6,20,2,7
1996,4,26,2,0
1996,3,4,1,11
1996,4,20,2,9
1997,2,20,1,0
1996,4,6,2,3
1997,10,19,4,4
1997,2,11,1,0
1998,11,6,4,0
1998,7,4,3,0
1996,1,22,1,11
1997,8,23,3,1
1998,8,15,3,0
1998,2,19,1,0
1997,1,1,1,5
1996,9,5,3,5
1997,7,8,3,1
1997,3,8,1,1
1996,4,29,2,13
1996,3,3,1,11
1996,4,11,2,0
1997,5,28,2,5
1998,6,14,2,0
1998,1,13,1,0
1998,1,25,1,0
1998,3,14,1,0
1998,6,14,2,0
1998,1,9,1,0
1998,2,10,1,0
1998,2,9,1,0
1998,5,2,2,0
1996,6,23,2,12
1996,9,21,3,14
1996,1,11,1,12
1997,11,29,4,2
1997,4,22,2,5
1997,3,24,1,6
1997,2,22,1,2
1997,11,7,4,1
1997,8,12,3,1
1996,11,8,4,6
1997,5,30,2,2
1997,1,17,1,0
1997,2,22,1,1
1996,8,25,3,5
1996,1,15,1,7
1996,1,23,1,6
1996,4,29,2,3
1996,7,29,3,5
1996,2,11,1,9
1996,12,15,4,15
1998,8,12,3,0
1996,5,5,2,1
1996,10,17,4,9
1996,6,12,2,0
1997,1,17,1,0
1997,3,3,1,0
1997,1,4,1,2
1996,5,17,2,0
1996,2,11,1,1
1997,12,24,4,2
1996,6,25,2,0
1996,1,29,1,16
1996,5,2,2,17
1996,4,19,2,8
1997,1,18,1,1
1996,3,8,1,6
1996,1,22,1,0
1996,6,2,2,10
1997,5,28,2,1
1997,5,15,2,2
1997,1,16,1,2
1996,3,5,1,14
1996,2,14,1,16
1996,7,3,3,0
1998,3,12,1,0
1998,1,6,1,0
1996,5,31,2,0
1996,12,15,4,7
1997,5,7,2,6
1997,1,13,1,4
1997,1,12,1,0
1997,4,24,2,1
1996,6,17,2,4
1997,1,26,1,0
1997,7,19,3,2
1996,4,23,2,17
1996,4,16,2,14
1996,8,3,3,14
1998,2,21,1,0
1996,10,4,4,3
1997,1,2,1,1
1997,2,13,1,1
1996,5,27,2,1
1996,8,27,3,1
1997,2,1,1,0
1997,8,11,3,2
1997,1,6,1,4
1996,12,27,4,5
1996,2,12,1,0
1996,3,22,1,1
1996,3,26,1,5
1996,3,13,1,0
1998,1,31,1,0
1998,3,4,1,0
1998,11,17,4,0
1998,1,5,1,5
1996,3,29,1,5
1996,2,10,1,1
1996,1,13,1,3
1996,7,19,3,6
1998,4,23,2,0
1997,2,2,1,5
1996,5,8,2,1
1996,2,5,1,0
1996,5,18,2,0
1996,7,8,3,0
1997,1,10,1,5
1997,7,22,3,2
1996,12,14,4,1
1997,2,21,1,2
1996,5,31,2,1
1996,3,10,1,6
1996,3,12,1,6
1996,5,3,2,6
1996,10,22,4,5
1996,1,22,1,9
1997,3,28,1,0
1996,5,29,2,2
1997,3,2,1,7
1997,4,8,2,0
1996,7,18,3,10
1997,4,14,2,7
1997,6,16,2,2
1997,4,4,2,3
1997,2,25,1,0
1996,1,12,1,11
1996,3,17,1,5
1997,5,8,2,5
1996,6,14,2,5
1996,8,16,3,6
1996,1,28,1,11
1997,2,1,1,0
1997,2,15,1,1
1996,3,15,1,8
1997,11,17,4,6
1997,1,5,1,1
1996,2,4,1,11
1996,3,1,1,9
1997,9,13,3,4
1997,11,2,4,0
1997,4,2,2,0
1996,8,16,3,13
